name,rating,ratingCount,priceRanges,category,address,postcode,openingHours,phone,web,serviceInfo
Natty's Jerk,4.7,382,£10–20,Caribbean restaurant,"Commercial Rd, Portsmouth PO1 1BA",PO1 1BA,,0330 016 2798,nattysjerk.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""Outdoor seating, Delivery, On-site services, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Gender-neutral toilets, Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, Credit cards"",""Children"":""Good for kids, High chairs"",""Parking"":""Paid parking lot, Paid street parking"",""Pets"":""Dogs allowed""}"
French Doner Kebab Grill & Shake Portsmouth,4.1,127,£1–10,Kebab Shop,"187 London Rd, North End, Portsmouth PO2 9AE",PO2 9AE,,023 9265 2035,fastfood-os.io,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible car park"",""Service options"":""Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Halal food, Late-night food"",""Dining options"":""Lunch, Dinner, Catering, Counter service, Dessert"",""Amenities"":""Gender-neutral toilets, Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, Kids' menu"",""Parking"":""Free of charge street parking"",""Pets"":""Dogs allowed, Dogs allowed inside, Dogs allowed outside""}"
STEKI Authenic Greek Cuisine,4.5,657,£20–30,Greek restaurant,"58 Osborne Rd, Southsea, Portsmouth, Southsea PO5 3LU",PO5 3LU,"{""Sunday"":""12 - 11pm"",""Monday"":""12 - 10pm"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 11pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9275 0200,steki.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Coffee, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Counter service, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs"",""Parking"":""Paid parking lot""}"
Mehmet Kitchen,4.8,340,£10–20,Takeaway,"175-177 Copnor Rd, Portsmouth PO3 5BT",PO3 5BT,"{""Sunday"":""3 - 10pm"",""Monday"":""3 - 10pm"",""Tuesday"":""3 - 10pm"",""Wednesday"":""3 - 10pm"",""Thursday"":""3 - 10pm"",""Friday"":""3 - 11pm"",""Saturday"":""3 - 11pm""}",023 9234 7242,mehmetkitchen.fastfood-os.io,"{""Accessibility"":""Wheelchair-accessible entrance"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Coffee, Late-night food, Small plates"",""Dining options"":""Dinner, Dessert"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments"",""Children"":""Good for kids""}"
Kango’s Gourmet Burger & Piri Piri Restaurant,4.2,315,£10–20,Restaurant,"14 Edinburgh Rd, Portsmouth PO1 1DE",PO1 1DE,"{""Sunday"":""11am - 11 pm"",""Monday"":""11am - 12 am"",""Tuesday"":""11am - 12 am"",""Wednesday"":""11am - 12 am"",""Thursday"":""11am - 12 am"",""Friday"":""11am - 12 am"",""Saturday"":""11am - 12 am""}",023 9261 2226,m.facebook.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Halal food, Healthy options, Late-night food, Small plates"",""Dining options"":""Lunch, Dinner, Dessert"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, Kids' menu""}"
The Canteen,4.6,1053,£10–20,Cafe,"Point Battery & Barracks, Broad St, Old Portsmouth, Portsmouth PO1 2FS",PO1 2FS,"{""Sunday"":""8am - 4 pm"",""Monday"":""8am - 4 pm"",""Tuesday"":""8am - 4 pm"",""Wednesday"":""8am - 4 pm"",""Thursday"":""8am - 4 pm"",""Friday"":""8am - 4 pm"",""Saturday"":""8am - 4 pm""}",023 9235 1935,thecanteen.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, No-contact delivery, Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Coffee, Healthy options, Small plates, Vegan options, Vegetarian options, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Catering, Dessert, Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid parking lot, Paid street parking, Somewhat difficult to find a space"",""Pets"":""Dogs allowed""}"
Park 27 Cafe,4.6,138,£10–20,Malaysian restaurant,"27 Charlotte St, Portsmouth PO1 4AH",PO1 4AH,"{""Sunday"":""11am - 7 pm"",""Monday"":""11am - 7:30 pm"",""Tuesday"":""11am - 7:30 pm"",""Wednesday"":""Closed"",""Thursday"":""11am - 7:30 pm"",""Friday"":""11am - 7:30 pm"",""Saturday"":""11am - 7:30 pm""}",023 9281 9888,,"{""Accessibility"":""Wheelchair-accessible seating"",""Service options"":""Takeaway, Dine-in, Delivery"",""Highlights"":""Great tea selection"",""Offerings"":""Coffee, Small plates, Vegetarian options"",""Dining options"":""Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids"",""Parking"":""Paid parking lot, Plenty of parking""}"
Panero Lounge,4.5,1121,£10–20,British restaurant,"36-38 Palmerston Rd, Southsea, Portsmouth, Southsea PO5 3QH",PO5 3QH,"{""Sunday"":""9am - 10 pm"",""Monday"":""9am - 10 pm"",""Tuesday"":""9am - 10 pm"",""Wednesday"":""9am - 10 pm"",""Thursday"":""9am - 10 pm"",""Friday"":""9am - 11 pm"",""Saturday"":""9am - 11 pm""}",023 9229 8269,thelounges.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Assistive hearing loop"",""Service options"":""Outdoor seating, Takeaway, Dine-in, Delivery"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Free water refills, Healthy options, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Paid parking lot, Paid street parking, Difficult to find a space"",""Pets"":""Dogs allowed""}"
The Ship & Castle,4.3,1221,£10–20,Pub,"1-2 The Hard, Portsea, Portsmouth PO1 3PU",PO1 3PU,"{""Sunday"":""12 - 10:30pm"",""Monday"":""12 - 11pm"",""Tuesday"":""12 - 11pm"",""Wednesday"":""12 - 11pm"",""Thursday"":""12 - 11pm"",""Friday"":""11am - 11 pm"",""Saturday"":""11am - 11 pm""}",023 9283 2009,shipandcastle.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Takeaway, Dine-in, Delivery"",""Highlights"":""Bar games, Quiz night, Sport"",""Offerings"":""Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine"",""Dining options"":""Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Paid multi-storey car park"",""Pets"":""Dogs allowed""}"
Bar + Block Steakhouse Portsmouth,4.2,663,£30–40,Bar & grill,"Queen St, Portsea, Portsmouth PO1 3EE",PO1 3EE,"{""Sunday"":""7am - 10:30 pm"",""Monday"":""6:30am - 11 pm"",""Tuesday"":""6:30am - 11 pm"",""Wednesday"":""6:30am - 11 pm"",""Thursday"":""6:30am - 11 pm"",""Friday"":""6:30am - 11 pm"",""Saturday"":""7am - 11 pm""}",023 9421 6227,barandblock.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Dine-in, Delivery, Takeaway"",""Offerings"":""Alcohol, Beer, Braille menu, Cocktails, Coffee, Food, Happy-hour drinks, Small plates, Spirits, Vegetarian options, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""High chairs, Kids' menu"",""Parking"":""Paid multi-storey car park, Paid parking lot, Paid street parking, Plenty of parking""}"
Koh Thai,4.3,1117,Moderate,Thai restaurant,"8 Kings Rd, Southsea, Portsmouth, Southsea PO5 3AH",PO5 3AH,,023 9282 4825,koh-thai.co.uk,"{""Accessibility"":""Wheelchair-accessible seating, Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic, Upmarket"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Paid street parking, Plenty of parking"",""Pets"":""Dogs allowed, Dogs allowed inside""}"
Brewhouse & Kitchen - Southsea,4.5,1078,£20–30,Pub,"51 Southsea Terrace, Southsea, Portsmouth, Southsea PO5 3AU",PO5 3AU,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 11pm"",""Tuesday"":""12 - 11pm"",""Wednesday"":""12 - 11pm"",""Thursday"":""11am - 11 pm"",""Friday"":""11am - 12 am"",""Saturday"":""11am - 12 am""}",023 9281 8979,brewhouseandkitchen.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Dine-in, Delivery"",""Offerings"":""Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine"",""Dining options"":""Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Free of charge street parking, Paid street parking"",""Pets"":""Dogs allowed""}"
Las Iguanas - Portsmouth - Gunwharf Quays,4.3,2128,£30–40,Restaurant,"108-111, East Side Plaza Gunwharf Quays, Portsmouth PO1 3SY",PO1 3SY,"{""Sunday"":""12 - 10pm"",""Monday"":""11am - 10 pm"",""Tuesday"":""11am - 10 pm"",""Wednesday"":""11am - 10 pm"",""Thursday"":""11am - 10 pm"",""Friday"":""11am - 10:30 pm"",""Saturday"":""11am - 10:30 pm""}",023 9431 8964,iguanas.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Delivery, Dine-in, Takeaway"",""Highlights"":""Great cocktails"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Halal food, Happy-hour drinks, Healthy options, Late-night food, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Catering, Dessert"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid parking lot, Paid street parking, Plenty of parking""}"
The Lady Hamilton,4.0,552,,,"21 The Hard, Portsmouth PO1 3DT",PO1 3DT,,023 9287 0505,theladyhamilton.com,{}
Zizzi - Portsmouth,4.6,2392,£20–30,Restaurant,Portsmouth PO1 3TA,PO1 3TA,"{""Sunday"":""11:30am - 10 pm"",""Monday"":""11:30am - 10 pm"",""Tuesday"":""11:30am - 10 pm"",""Wednesday"":""11:30am - 10 pm"",""Thursday"":""11:30am - 10 pm"",""Friday"":""11:30am - 11 pm"",""Saturday"":""11:30am - 11 pm""}",023 9217 5111,zizzi.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, No-contact delivery, Delivery, Takeaway, Dine-in"",""Highlights"":""Fireplace"",""Offerings"":""Alcohol, Beer, Braille menu, Cocktails, Coffee, Happy-hour drinks, Healthy options, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid parking lot, Plenty of parking""}"
La Casa Flamenca Port Solent,4.2,599,£20–30,Tapas restaurant,"22-23 The Boardwalk, Portsmouth PO6 4TP",PO6 4TP,"{""Sunday"":""12 - 9:30pm"",""Monday"":""12 - 9:30pm"",""Tuesday"":""12 - 9:30pm"",""Wednesday"":""12 - 9:30pm"",""Thursday"":""12 - 9:30pm"",""Friday"":""12 - 10pm"",""Saturday"":""12 - 10pm""}",023 9237 0072,lacasaflamenca.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, No-contact delivery, Delivery, Dine-in"",""Highlights"":""Live music"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Free water refills, Halal food, Happy-hour drinks, Happy-hour food, Healthy options, Late-night food, Salad bar, Small plates, Spirits, Vegetarian options, Wine"",""Dining options"":""Breakfast, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Cheques, Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Free parking lot, Plenty of parking""}"
DIM SUM HUT,4.5,197,£10–20,Dim Sum restaurant,"229-231 Commercial Rd, Portsmouth PO1 4BJ",PO1 4BJ,"{""Sunday"":""11am - 9 pm"",""Monday"":""11am - 9 pm"",""Tuesday"":""11am - 9 pm"",""Wednesday"":""11am - 7 pm"",""Thursday"":""Closed"",""Friday"":""11am - 9 pm"",""Saturday"":""11am - 9 pm""}",023 9282 2291,,"{""Accessibility"":""Wheelchair-accessible seating"",""Service options"":""Outdoor seating, Kerbside pickup, Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Coffee, Free water refills, Small plates"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs""}"
Brewhouse & Kitchen - Portsmouth,4.4,1645,£20–30,Pub,"26 Guildhall Walk, Portsmouth PO1 2DD",PO1 2DD,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 11pm"",""Tuesday"":""12 - 11pm"",""Wednesday"":""12 - 11pm"",""Thursday"":""12 - 11pm"",""Friday"":""12pm - 12 am"",""Saturday"":""12pm - 12 am""}",023 9289 1340,brewhouseandkitchen.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Dine-in, Delivery"",""Offerings"":""Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine"",""Dining options"":""Outside food allowed, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Paid parking lot, Paid street parking, Difficult to find a space"",""Pets"":""Dogs allowed""}"
Gin and Olive Southsea,4.4,707,Moderate,Restaurant,"17 Albert Rd, Southsea, Portsmouth, Southsea PO5 2SE",PO5 2SE,"{""Sunday"":""12 - 10pm"",""Monday"":""1 - 11pm"",""Tuesday"":""1 - 11pm"",""Wednesday"":""1 - 11pm"",""Thursday"":""1 - 11pm"",""Friday"":""12pm - 12 am"",""Saturday"":""12pm - 12 am""}",023 9282 7007,ginandolive.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Assistive hearing loop, Wheelchair-accessible car park, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Dine-in, Delivery, Takeaway"",""Highlights"":""Great cocktails"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Free water refills, Happy-hour drinks, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy, Romantic, Upmarket"",""Crowd"":""Groups, LGBTQ+ friendly"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""High chairs"",""Pets"":""Dogs allowed""}"
The Akash,4.3,696,£20–30,Indian restaurant,"99-101 Albert Rd, Southsea, Portsmouth, Southsea PO5 2SG",PO5 2SG,"{""Sunday"":""4:30 - 10:30pm"",""Monday"":""Closed"",""Tuesday"":""4:30 - 10:30pm"",""Wednesday"":""4:30 - 10:30pm"",""Thursday"":""4:30 - 10:30pm"",""Friday"":""4:30 - 11:30pm"",""Saturday"":""4:30 - 11:30pm""}",023 9229 1813,theakash.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible car park"",""Service options"":""No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Coffee, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Dessert"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids"",""Parking"":""Free of charge street parking, Paid street parking""}"
Golden Bowl Chinese Takeaway,4.3,243,£10–20,Chinese Takeaway,"71 Fawcett Rd, Southsea, Portsmouth, Southsea PO4 0DB",PO4 0DB,"{""Sunday"":""12 - 10pm"",""Monday"":""Closed"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 10pm"",""Friday"":""12 - 10pm"",""Saturday"":""12 - 10pm""}",023 9242 0124,goldenbowlpo4.co.uk,"{""Accessibility"":""Wheelchair-accessible car park"",""Service options"":""No-contact delivery, Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Coffee, Healthy options, Late-night food, Small plates"",""Dining options"":""Lunch, Dinner, Dessert"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids""}"
Giggling Squid - Portsmouth,4.6,229,Moderate,Restaurant,"2 Vulcan Buildings, Portsmouth PO1 3BF",PO1 3BF,"{""Sunday"":""12 - 10:30pm"",""Monday"":""12 - 10:30pm"",""Tuesday"":""12 - 10:30pm"",""Wednesday"":""12 - 10:30pm"",""Thursday"":""12 - 10:30pm"",""Friday"":""12 - 10:30pm"",""Saturday"":""12 - 10:30pm""}",023 9200 4799,gigglingsquid.com,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Assistive hearing loop"",""Service options"":""Outdoor seating, No-contact delivery, Delivery, Takeaway, Dine-in"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Toilets"",""Crowd"":""Family friendly, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards"",""Children"":""Good for kids, Has changing table(s), High chairs, Kids' menu"",""Parking"":""Paid parking lot, Plenty of parking"",""Pets"":""Dogs allowed outside""}"
Hub Box Portsmouth,4.3,568,£10–20,Hamburger restaurant,"Unit R30, Portsmouth PO1 3TR",PO1 3TR,"{""Sunday"":""9am - 10:30 pm"",""Monday"":""11:30am - 10:30 pm"",""Tuesday"":""11:30am - 10:30 pm"",""Wednesday"":""11:30am - 10:30 pm"",""Thursday"":""11:30am - 10:30 pm"",""Friday"":""11:30am - 11 pm"",""Saturday"":""9am - 11 pm""}",023 9282 8540,hubbox.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Late-night food, Small plates, Spirits, Vegetarian options, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid parking lot, Paid street parking, Plenty of parking""}"
De Garden,4.2,77,£10–20,Chinese restaurant,"116 London Rd, North End, Portsmouth PO2 0LZ",PO2 0LZ,"{""Sunday"":""1 - 10:30pm"",""Monday"":""1 - 10:30pm"",""Tuesday"":""1 - 10:30pm"",""Wednesday"":""Closed"",""Thursday"":""1 - 10:30pm"",""Friday"":""1 - 10:30pm"",""Saturday"":""1 - 10:30pm""}",023 9307 3008,,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Assistive hearing loop, Wheelchair-accessible toilet"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Happy-hour food, Late-night food, Small plates, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Seating"",""Amenities"":""Gender-neutral toilets, Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids""}"
TWINS 川菜火鍋,4.1,80,£20–30,Chinese restaurant,"255 Albert Rd, Southsea, Portsmouth, Southsea PO4 0JR",PO4 0JR,"{""Sunday"":""12:30 - 10pm"",""Monday"":""12:30 - 3pm"",""Tuesday"":""Closed"",""Wednesday"":""12:30 - 3pm"",""Thursday"":""12:30 - 3pm"",""Friday"":""12:30 - 10:30pm"",""Saturday"":""12:30 - 10:30pm""}",023 9273 9688,,"{""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, All you can eat, Beer, Late-night food, Small plates, Spirits, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""High chairs""}"
Nando's Portsmouth,4.3,2097,£10–20,Restaurant,"First Floor, Central Bldg Gunwharf Quays, Unit L018, Park Rd, Portsmouth PO1 3TR",PO1 3TR,,023 9275 3360,nandos.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Coffee, Free water refills, Healthy options, Late-night food, Small plates, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, NFC mobile payments"",""Children"":""Good for kids, Good for kids birthday, High chairs, Kids' menu"",""Parking"":""Paid parking lot, Paid street parking, Plenty of parking""}"
The Spinnaker Café,4.7,630,£10–20,Cafe,"96 Broad St, Old Portsmouth, Portsmouth PO1 2JE",PO1 2JE,"{""Sunday"":""8am - 3:30 pm"",""Monday"":""8:30am - 3:30 pm"",""Tuesday"":""8:30am - 3:30 pm"",""Wednesday"":""8:30am - 3:30 pm"",""Thursday"":""8:30am - 3:30 pm"",""Friday"":""8am - 3:30 pm"",""Saturday"":""8am - 3:30 pm""}",07434 727664,facebook.com,"{""Accessibility"":""Wheelchair-accessible entrance"",""Service options"":""Outdoor seating, Takeaway, Dine-in, Delivery"",""Highlights"":""Great tea selection"",""Offerings"":""Coffee"",""Dining options"":""Breakfast, Brunch, Lunch, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, Kids' menu"",""Parking"":""Free of charge street parking, Plenty of parking"",""Pets"":""Dogs allowed""}"
